antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Electronics', 'Books', 'Clothing', 'Home Decor'})","frozenset({'Sports', 'Beauty'})",0.296,0.576,0.179,0.6047297297297297,1.049878003003003,1.0,0.008504000000000012,1.0726837606837607,0.06748349415947191,0.25829725829725836,0.0677587965323815,0.45774680930930933
"frozenset({'Sports', 'Food', 'Home Decor'})","frozenset({'Clothing', 'Beauty'})",0.407,0.55,0.235,0.5773955773955775,1.0498101407192317,1.0,0.011149999999999993,1.0648255813953489,0.0800114814681927,0.32548476454293623,0.06087906087906091,0.5023341523341524
"frozenset({'Electronics', 'Sports', 'Food', 'Home Decor'})","frozenset({'Clothing', 'Beauty'})",0.298,0.55,0.172,0.5771812080536912,1.0494203782794385,1.0,0.008099999999999968,1.064285714285714,0.06708407871198543,0.2544378698224851,0.06040268456375817,0.4449542403904819
"frozenset({'Sports', 'Clothing', 'Food', 'Home Decor'})","frozenset({'Books', 'Beauty'})",0.301,0.551,0.174,0.5780730897009967,1.0491344640671445,1.0,0.00814899999999999,1.0641653543307086,0.06700047687172142,0.2566371681415928,0.06029641358796581,0.44693128169260354
"frozenset({'Electronics', 'Books', 'Food', 'Home Decor'})","frozenset({'Clothing', 'Beauty'})",0.286,0.55,0.165,0.576923076923077,1.048951048951049,1.0,0.007700000000000012,1.0636363636363637,0.06535947712418311,0.2459016393442623,0.059829059829059866,0.43846153846153846
"frozenset({'Food', 'Sports', 'Beauty', 'Books', 'Home Decor'})",frozenset({'Clothing'}),0.226,0.735,0.174,0.7699115044247787,1.0474986454758894,1.0,0.00788999999999998,1.1517307692307692,0.05858504856099068,0.22109275730622618,0.13174152613124057,0.5033230991511649
"frozenset({'Clothing', 'Sports', 'Beauty'})",frozenset({'Home Decor'}),0.42,0.748,0.329,0.7833333333333334,1.0472370766488415,1.0,0.01484000000000002,1.1630769230769236,0.07776962582538527,0.3921334922526818,0.14021164021164062,0.6115864527629234
"frozenset({'Clothing', 'Food', 'Home Decor'})",frozenset({'Beauty'}),0.398,0.739,0.308,0.7738693467336683,1.0471845016693753,1.0,0.013878000000000001,1.1541999999999997,0.07484790956551755,0.37153196622436674,0.13359902963091286,0.5953243891990398
"frozenset({'Clothing', 'Books', 'Sports', 'Beauty'})",frozenset({'Home Decor'}),0.312,0.748,0.244,0.782051282051282,1.0455231043466338,1.0,0.010623999999999995,1.156235294117647,0.06328631338162406,0.29901960784313725,0.13512413512413513,0.5541272453037158
"frozenset({'Electronics', 'Food', 'Sports', 'Clothing', 'Beauty'})",frozenset({'Home Decor'}),0.22,0.748,0.172,0.7818181818181817,1.0452114730189594,1.0,0.007439999999999974,1.1549999999999996,0.05545617173524131,0.21608040201005022,0.13419913419913393,0.5058823529411764
"frozenset({'Electronics', 'Clothing', 'Beauty', 'Books', 'Home Decor'})","frozenset({'Sports', 'Food'})",0.222,0.556,0.129,0.5810810810810811,1.0451098580594984,1.0,0.00556799999999999,1.0598709677419356,0.05547916542117524,0.1987673343605547,0.05648892135378625,0.4065477347851449
"frozenset({'Home Decor', 'Food', 'Beauty'})",frozenset({'Clothing'}),0.401,0.735,0.308,0.768079800498753,1.0450065312908206,1.0,0.013264999999999971,1.14263440860215,0.07190013659128835,0.3719806763285024,0.12482943584435105,0.5935637097731861
"frozenset({'Electronics', 'Clothing', 'Sports', 'Beauty', 'Books'})",frozenset({'Home Decor'}),0.229,0.748,0.179,0.7816593886462881,1.0449991826822034,1.0,0.007707999999999993,1.1541599999999996,0.055851429979204205,0.22431077694235588,0.1335690025646355,0.5104821007402564
"frozenset({'Books', 'Clothing', 'Food', 'Home Decor'})",frozenset({'Beauty'}),0.294,0.739,0.227,0.772108843537415,1.0448022240019148,1.0,0.00973400000000002,1.1452835820895526,0.06073804145711411,0.28163771712158814,0.12685380665676266,0.539640348696989
"frozenset({'Home Decor', 'Electronics', 'Food', 'Beauty'})",frozenset({'Clothing'}),0.293,0.735,0.225,0.7679180887372015,1.0447865152887095,1.0,0.009645000000000015,1.141838235294118,0.06063177746346072,0.28019925280199254,0.12421920278189237,0.5370202688583967
"frozenset({'Electronics', 'Food', 'Sports', 'Beauty', 'Home Decor'})",frozenset({'Clothing'}),0.224,0.735,0.172,0.7678571428571428,1.0447035957240038,1.0,0.007359999999999978,1.1415384615384614,0.05514265164229186,0.21855146124523508,0.12398921832884077,0.5009353741496598
"frozenset({'Electronics', 'Clothing', 'Sports', 'Beauty'})",frozenset({'Home Decor'}),0.306,0.748,0.239,0.7810457516339869,1.0441788123449023,1.0,0.010111999999999982,1.1509253731343283,0.06096487526075255,0.29325153374233126,0.1311339350555037,0.5502822341057635
"frozenset({'Sports', 'Clothing', 'Food', 'Beauty'})","frozenset({'Books', 'Home Decor'})",0.303,0.55,0.174,0.5742574257425742,1.044104410441044,1.0,0.007349999999999968,1.0569767441860463,0.060604561420867495,0.25625920471281294,0.05390539053905371,0.44531053105310525
"frozenset({'Electronics', 'Clothing', 'Sports', 'Books', 'Home Decor'})",frozenset({'Beauty'}),0.232,0.739,0.179,0.7715517241379309,1.0440483411879986,1.0,0.007551999999999975,1.1424905660377354,0.05493482309124749,0.226010101010101,0.12471924957061666,0.5068854696467733
"frozenset({'Clothing', 'Food', 'Home Decor'})","frozenset({'Electronics', 'Beauty'})",0.398,0.542,0.225,0.5653266331658291,1.0430380685716403,1.0,0.009283999999999987,1.0536647398843928,0.06854189737910658,0.31468531468531463,0.05093151346250886,0.490227892228671
"frozenset({'Clothing', 'Sports', 'Beauty'})","frozenset({'Electronics', 'Home Decor'})",0.42,0.546,0.239,0.569047619047619,1.0422117564974707,1.0,0.009679999999999994,1.0534806629834252,0.06983119319001582,0.328748280605227,0.05076568072162772,0.5033882783882784
"frozenset({'Clothing', 'Sports', 'Food'})","frozenset({'Beauty', 'Home Decor'})",0.402,0.561,0.235,0.5845771144278606,1.0420269419391455,1.0,0.009477999999999959,1.0567544910179638,0.06744467373514523,0.32280219780219777,0.053706410997404544,0.5017359725436985
"frozenset({'Electronics', 'Food', 'Sports', 'Clothing', 'Home Decor'})","frozenset({'Books', 'Beauty'})",0.225,0.551,0.129,0.5733333333333334,1.0405323653962493,1.0,0.005024999999999988,1.05234375,0.050262565641410226,0.19938176197836166,0.049740163325909394,0.4037265577737447
"frozenset({'Electronics', 'Books', 'Food', 'Home Decor'})","frozenset({'Clothing', 'Sports'})",0.286,0.558,0.166,0.5804195804195805,1.0401784595332983,1.0,0.006412000000000001,1.0534333333333334,0.05409874793290811,0.24483775811209438,0.050723032623485244,0.4389553099230519
"frozenset({'Clothing', 'Sports', 'Home Decor'})",frozenset({'Beauty'}),0.428,0.739,0.329,0.7686915887850467,1.0401780633085882,1.0,0.012708000000000053,1.1283636363636365,0.06752821646438695,0.3926014319809069,0.11376087657106031,0.6069438999405613
"frozenset({'Electronics', 'Books', 'Sports', 'Home Decor'})","frozenset({'Clothing', 'Beauty'})",0.313,0.55,0.179,0.5718849840255591,1.039790880046471,1.0,0.006849999999999967,1.0511194029850746,0.055703284460816335,0.26169590643274854,0.04863329783457567,0.44866976474005227
"frozenset({'Sports', 'Clothing', 'Food', 'Beauty'})","frozenset({'Electronics', 'Home Decor'})",0.303,0.546,0.172,0.5676567656765676,1.0396644060010396,1.0,0.0065619999999999845,1.050091603053435,0.054736245036868844,0.2540620384047267,0.0477021270408978,0.4413375403474413
"frozenset({'Clothing', 'Sports'})","frozenset({'Books', 'Home Decor'})",0.558,0.55,0.319,0.5716845878136201,1.039426523297491,1.0,0.012099999999999944,1.0506276150627614,0.08581682009673858,0.4043092522179974,0.04818797291915564,0.57584229390681
"frozenset({'Books', 'Home Decor'})","frozenset({'Clothing', 'Sports'})",0.55,0.558,0.319,0.58,1.0394265232974909,1.0,0.012099999999999944,1.0523809523809522,0.08429118773946322,0.4043092522179974,0.04977375565610839,0.57584229390681
"frozenset({'Electronics', 'Food', 'Sports', 'Clothing', 'Beauty', 'Books'})",frozenset({'Home Decor'}),0.166,0.748,0.129,0.7771084337349398,1.038915018362219,1.0,0.004832000000000003,1.1305945945945945,0.04491290688379532,0.1643312101910828,0.1155096576783324,0.47478416339153406
"frozenset({'Electronics', 'Food', 'Home Decor'})","frozenset({'Clothing', 'Beauty'})",0.394,0.55,0.225,0.5710659898477157,1.0383017997231194,1.0,0.008299999999999974,1.049112426035503,0.06087275394206068,0.3129346314325452,0.046813310772701525,0.4900784494693124
"frozenset({'Home Decor', 'Sports', 'Food', 'Beauty'})",frozenset({'Clothing'}),0.308,0.735,0.235,0.762987012987013,1.0380775686898136,1.0,0.008619999999999989,1.118082191780822,0.05300701020784645,0.2908415841584158,0.10561136976231322,0.5413574520717378
frozenset({'Home Decor'}),"frozenset({'Clothing', 'Beauty'})",0.748,0.55,0.427,0.570855614973262,1.0379192999513853,1.0,0.015599999999999947,1.0485981308411212,0.1449760231961632,0.49024110218140066,0.0463458110516932,0.6736096256684492
"frozenset({'Clothing', 'Beauty'})",frozenset({'Home Decor'}),0.55,0.748,0.427,0.7763636363636363,1.0379192999513853,1.0,0.015599999999999947,1.1268292682926824,0.08118657298985141,0.49024110218140066,0.11255411255411213,0.6736096256684492
"frozenset({'Electronics', 'Clothing', 'Sports', 'Home Decor'})","frozenset({'Books', 'Beauty'})",0.313,0.551,0.179,0.5718849840255591,1.0379037822605428,1.0,0.006536999999999987,1.0487835820895521,0.05315801029494269,0.26131386861313866,0.04651444103687985,0.4483744339365545
"frozenset({'Food', 'Sports', 'Beauty', 'Books', 'Home Decor'})","frozenset({'Electronics', 'Clothing'})",0.226,0.55,0.129,0.5707964601769911,1.0378117457763474,1.0,0.004699999999999996,1.0484536082474225,0.04707249163712112,0.19938176197836166,0.04621435594886913,0.4026709573612228
"frozenset({'Electronics', 'Clothing', 'Beauty', 'Books', 'Home Decor'})",frozenset({'Sports'}),0.222,0.777,0.179,0.8063063063063063,1.03771725393347,1.0,0.006505999999999984,1.151302325581395,0.04671769757722842,0.21829268292682924,0.1314184139296245,0.5183397683397684
"frozenset({'Electronics', 'Books', 'Clothing', 'Beauty'})","frozenset({'Sports', 'Home Decor'})",0.296,0.583,0.179,0.6047297297297297,1.0372722636873581,1.0,0.006432000000000021,1.054974358974359,0.05104113763331657,0.2557142857142857,0.052109663620455035,0.45588115989059386
"frozenset({'Clothing', 'Food', 'Beauty'})","frozenset({'Books', 'Home Decor'})",0.398,0.55,0.227,0.5703517587939698,1.0370031978072178,1.0,0.008099999999999968,1.0473684210526315,0.05927378635092986,0.3148404993065187,0.045226130653266174,0.49153951576062127
"frozenset({'Clothing', 'Sports', 'Food', 'Beauty'})",frozenset({'Home Decor'}),0.303,0.748,0.235,0.7755775577557755,1.0368683927216251,1.0,0.008356000000000002,1.1228823529411762,0.05101498824750452,0.28799019607843135,0.10943475299910924,0.544874340375214
"frozenset({'Electronics', 'Sports', 'Beauty', 'Books', 'Home Decor'})",frozenset({'Clothing'}),0.235,0.735,0.179,0.7617021276595745,1.0363294253871762,1.0,0.006275000000000003,1.1120535714285715,0.04582466133567023,0.22629582806573958,0.10076274588518667,0.5026197713127805
"frozenset({'Books', 'Beauty', 'Home Decor'})",frozenset({'Clothing'}),0.411,0.735,0.313,0.7615571776155718,1.036132214442955,1.0,0.010915000000000008,1.1113775510204085,0.05920578008971728,0.37575030012004806,0.10021576458706362,0.5937037588758132
"frozenset({'Electronics', 'Sports', 'Food', 'Beauty'})","frozenset({'Clothing', 'Home Decor'})",0.297,0.559,0.172,0.5791245791245792,1.0360010360010359,1.0,0.005976999999999982,1.0478159999999999,0.049431009957325606,0.2514619883040935,0.045633966268886855,0.44340844340844343
"frozenset({'Electronics', 'Books', 'Clothing', 'Sports'})","frozenset({'Beauty', 'Home Decor'})",0.308,0.561,0.179,0.5811688311688311,1.0359515707109288,1.0,0.0062119999999999675,1.0481550387596896,0.05015015984757942,0.2594202898550725,0.045942667810549113,0.4501209574738986
"frozenset({'Electronics', 'Books', 'Beauty', 'Home Decor'})",frozenset({'Sports'}),0.292,0.777,0.235,0.8047945205479452,1.0357715837167891,1.0,0.008115999999999984,1.1423859649122805,0.04877990143046031,0.2817745803357314,0.12463910559616673,0.5536199114966238
frozenset({'Clothing'}),"frozenset({'Beauty', 'Home Decor'})",0.735,0.561,0.427,0.580952380952381,1.0355657414480943,1.0,0.014664999999999984,1.0476136363636364,0.129600989792762,0.49136939010356734,0.045449614925696914,0.6710466004583651
"frozenset({'Beauty', 'Home Decor'})",frozenset({'Clothing'}),0.561,0.735,0.427,0.7611408199643492,1.0355657414480943,1.0,0.014664999999999984,1.109440298507462,0.07823294372456022,0.49136939010356734,0.09864460363905377,0.6710466004583651
"frozenset({'Clothing', 'Books', 'Sports'})","frozenset({'Beauty', 'Home Decor'})",0.42,0.561,0.244,0.580952380952381,1.0355657414480943,1.0,0.00837999999999997,1.0476136363636364,0.05921424533634801,0.33107191316146534,0.045449614925696914,0.5079449961802903
"frozenset({'Clothing', 'Food', 'Beauty'})","frozenset({'Electronics', 'Home Decor'})",0.398,0.546,0.225,0.5653266331658291,1.03539676403998,1.0,0.007691999999999977,1.0444624277456644,0.0567884828349943,0.3129346314325452,0.04256967657671598,0.4887072726268706
"frozenset({'Clothing', 'Food', 'Home Decor'})","frozenset({'Books', 'Beauty'})",0.398,0.551,0.227,0.5703517587939698,1.0351211593356984,1.0,0.007701999999999987,1.0450409356725145,0.056361321293192934,0.314404432132964,0.04309968550995496,0.49116499010478887
"frozenset({'Clothing', 'Books', 'Sports', 'Home Decor'})",frozenset({'Beauty'}),0.319,0.739,0.244,0.7648902821316614,1.0350342112742374,1.0,0.008258999999999989,1.11012,0.049703906983462054,0.29975429975429974,0.09919648326307068,0.5475330977640716
"frozenset({'Books', 'Home Decor'})","frozenset({'Clothing', 'Beauty'})",0.55,0.55,0.313,0.5690909090909091,1.0347107438016527,1.0,0.010499999999999954,1.0443037974683542,0.07454739084132024,0.39771283354510795,0.04242424242424233,0.5690909090909091
"frozenset({'Clothing', 'Beauty'})","frozenset({'Books', 'Home Decor'})",0.55,0.55,0.313,0.5690909090909091,1.0347107438016527,1.0,0.010499999999999954,1.0443037974683542,0.07454739084132024,0.39771283354510795,0.04242424242424233,0.5690909090909091
"frozenset({'Clothing', 'Sports', 'Home Decor'})","frozenset({'Books', 'Beauty'})",0.428,0.551,0.244,0.5700934579439252,1.0346523737639295,1.0,0.008171999999999985,1.0444130434782606,0.05855210363407073,0.3319727891156462,0.042524405220323254,0.5064623369574435
"frozenset({'Clothing', 'Food', 'Beauty'})",frozenset({'Home Decor'}),0.398,0.748,0.308,0.7738693467336683,1.0345846881466154,1.0,0.010295999999999972,1.1143999999999996,0.05552918841955372,0.3675417661097853,0.10265613783201688,0.5928170263080106
"frozenset({'Electronics', 'Food', 'Sports', 'Clothing', 'Home Decor'})",frozenset({'Beauty'}),0.225,0.739,0.172,0.7644444444444444,1.034430912644715,1.0,0.00572499999999998,1.108018867924528,0.04294823705926467,0.21717171717171715,0.0974882928905915,0.4985956998947526
"frozenset({'Electronics', 'Books', 'Beauty', 'Home Decor'})",frozenset({'Clothing'}),0.292,0.735,0.222,0.7602739726027398,1.034386357282639,1.0,0.007380000000000025,1.1054285714285716,0.04695373339441153,0.27577639751552796,0.09537348151977275,0.5311573944646352
"frozenset({'Electronics', 'Clothing', 'Sports'})","frozenset({'Beauty', 'Home Decor'})",0.412,0.561,0.239,0.5800970873786407,1.0340411539726215,1.0,0.007867999999999986,1.045479768786127,0.0559872484558676,0.3256130790190735,0.04350133799234781,0.5030610214076804
"frozenset({'Food', 'Sports', 'Clothing', 'Beauty', 'Books'})",frozenset({'Home Decor'}),0.225,0.748,0.174,0.7733333333333332,1.033868092691622,1.0,0.005699999999999983,1.1117647058823523,0.04226918798665171,0.21777221526908636,0.10052910052910002,0.5029768270944741
"frozenset({'Clothing', 'Home Decor'})",frozenset({'Beauty'}),0.559,0.739,0.427,0.7638640429338103,1.0336455249442629,1.0,0.01389899999999994,1.105295454545454,0.07381032038107951,0.49024110218140066,0.09526453231344935,0.6708359456888267
frozenset({'Beauty'}),"frozenset({'Clothing', 'Home Decor'})",0.739,0.559,0.427,0.577807848443843,1.0336455249442629,1.0,0.01389899999999994,1.0445480769230768,0.1247139896094102,0.49024110218140066,0.04264818241234236,0.6708359456888267
"frozenset({'Electronics', 'Clothing', 'Sports', 'Home Decor'})",frozenset({'Beauty'}),0.313,0.739,0.239,0.7635782747603833,1.0332588291750788,1.0,0.007693000000000005,1.103959459459459,0.0468533981351215,0.29397293972939725,0.09416963509725411,0.5434941441460915
"frozenset({'Home Decor', 'Food', 'Beauty'})","frozenset({'Books', 'Clothing'})",0.401,0.548,0.227,0.5660847880299251,1.0330014380108121,1.0,0.007251999999999981,1.04167816091954,0.05333411780279894,0.314404432132964,0.040010592986559915,0.49015918233613043
"frozenset({'Electronics', 'Books', 'Home Decor'})","frozenset({'Sports', 'Beauty'})",0.395,0.576,0.235,0.5949367088607594,1.0328762306610408,1.0,0.007479999999999987,1.04675,0.05261121856866528,0.31929347826086957,0.04466204919990445,0.5014614099859352
"frozenset({'Electronics', 'Food', 'Home Decor'})",frozenset({'Clothing'}),0.394,0.735,0.299,0.7588832487309644,1.0324942159604957,1.0,0.009409999999999974,1.0990526315789468,0.05193328697418222,0.36024096385542165,0.0901254669092995,0.5828429849096999
"frozenset({'Electronics', 'Books', 'Food', 'Home Decor'})",frozenset({'Clothing'}),0.286,0.735,0.217,0.7587412587412588,1.0323010323010324,1.0,0.006790000000000018,1.0984057971014494,0.0438239812053855,0.26990049751243783,0.08958965562739156,0.526989676989677
"frozenset({'Electronics', 'Food', 'Clothing', 'Books', 'Home Decor'})","frozenset({'Sports', 'Beauty'})",0.217,0.576,0.129,0.5944700460829493,1.0320660522273426,1.0,0.0040080000000000116,1.0455454545454546,0.03968041818883851,0.19427710843373497,0.04356142944091823,0.40921418970814133
"frozenset({'Clothing', 'Food'})","frozenset({'Beauty', 'Home Decor'})",0.532,0.561,0.308,0.5789473684210525,1.0319917440660473,1.0,0.009547999999999945,1.0426249999999997,0.06623931623931587,0.3923566878980892,0.04088238820285306,0.5639834881320949
"frozenset({'Food', 'Beauty'})","frozenset({'Clothing', 'Home Decor'})",0.534,0.559,0.308,0.5767790262172284,1.0318050558447736,1.0,0.009493999999999947,1.042008849557522,0.066147371941363,0.3923566878980892,0.04031525219326163,0.5638814630191687
"frozenset({'Electronics', 'Beauty', 'Home Decor'})",frozenset({'Clothing'}),0.405,0.735,0.307,0.7580246913580246,1.03132611069119,1.0,0.009324999999999972,1.0951530612244895,0.051049735855254005,0.36854741896758697,0.08688562776613075,0.5878558830939783
"frozenset({'Electronics', 'Food', 'Sports', 'Books', 'Home Decor'})",frozenset({'Clothing'}),0.219,0.735,0.166,0.7579908675799087,1.0312800919454541,1.0,0.005035000000000012,1.0950000000000004,0.03883652407324569,0.21065989847715738,0.08675799086758021,0.4919206038579816
"frozenset({'Home Decor', 'Sports', 'Food', 'Beauty'})","frozenset({'Books', 'Clothing'})",0.308,0.548,0.174,0.564935064935065,1.0309034031661768,1.0,0.005215999999999971,1.0389253731343284,0.043319380772041484,0.2551319648093841,0.03746695782094008,0.4412266565551237
"frozenset({'Sports', 'Books', 'Clothing', 'Food'})","frozenset({'Beauty', 'Home Decor'})",0.301,0.561,0.174,0.5780730897009967,1.0304333149750387,1.0,0.005138999999999977,1.0404645669291337,0.04225247891075903,0.25290697674418594,0.038890864922543594,0.4441167587542416
